UA,mun,uf,lon_pc,lat_pc,Biomassa_Mg_ha,bio_Mg_ha_10,bio_Mg_ha_5,n_arvores_total,n_arvores_10,n_arvores_5,n_subunidades,n_subparcelas_5,area_ha_10,area_ha_5,dap_medio_10,ht_media_10,flag_subunidades_incompletas,flag_poucas_arvores,flag_biomassa_extrema
GO_388,Formosa,Goiás,-47.1599999999,-15.6599999999,19.59617342075029,15.864974530748565,3.731198890001725,145.0,107,38.0,4,8.0,0.4,0.08,16.912980295172662,5.042056074766355,False,False,False
GO_39,Cavalcante,Goiás,-47.8799999999,-13.3199999999,66.72292301140358,54.53536613597893,12.187556875424644,151.0,106,45.0,3,6.0,0.3,0.06,16.42203162000353,11.783018867924529,True,False,False
GO_390,Montes Claros de Goiás,Goiás,-51.8399999999,-15.8399999999,45.142028513206185,33.985415663768244,11.15661284943794,211.0,154,57.0,4,7.0,0.4,0.07,15.918448304466986,8.836363636363636,False,False,False
GO_392,Montes Claros de Goiás,Goiás,-51.4799999999,-15.8399999999,0.5899493370658873,0.5899493370658873,0.0,1.0,1,0.0,1,0.0,0.1,0.0,14.3,6.5,True,True,False
GO_394,Santa Fé de Goiás,Goiás,-51.1199999999,-15.8399999999,54.41192401521047,39.79455401984376,14.61736999536671,310.0,202,108.0,4,8.0,0.4,0.08,15.09966903499082,7.687623762376238,False,False,False
GO_395,Jussara,Goiás,-50.9399999999,-15.8399999999,12.843450125364821,3.7459282067615716,9.097521918603249,17.0,12,5.0,4,1.0,0.4,0.01,19.957135890953456,6.858333333333333,False,False,False
GO_396,Itapirapuã,Goiás,-50.7599999999,-15.8399999999,4.603839546258341,1.959229697532159,2.6446098487261813,5.0,2,3.0,1,1.0,0.1,0.01,20.5,7.4,True,True,False
GO_397,Itapirapuã,Goiás,-50.5799999999,-15.8399999999,5.6600483125213525,5.6600483125213525,0.0,2.0,2,0.0,2,0.0,0.2,0.0,41.25,10.35,True,True,False
GO_398,Goiás,Goiás,-50.3999999999,-15.8399999999,62.80676674649746,50.0462819570341,12.760484789463364,307.0,217,90.0,4,8.0,0.4,0.08,14.553457317278319,8.13594470046083,False,False,False
GO_399,Goiás,Goiás,-50.2199999999,-15.8399999999,16.917023304676352,14.15707396801484,2.7599493366615127,124.0,98,26.0,4,7.0,0.4,0.07,15.305296330491855,6.564285714285714,False,False,False
GO_4,São Miguel do Araguaia,Goiás,-50.0399999999,-12.9599999999,18.684314815685113,12.62776073675807,6.056554078927043,65.0,39,26.0,2,4.0,0.2,0.04,14.674715018931737,7.0487179487179485,True,False,False
